abhor,rabbia
abhorr,rabbia
abhorr,disgusto
orrore,rabbia
aberrante,disgusto
abomin,rabbia
abomin,disgusto
abominevole,disgusto
abominate,rabbia
abominio,rabbia
Admir,gioia
Admir,sorpresa
ammirevole,gioia
mirabilmente,gioia
ammirazione,gioia
ammirazione,sorpresa
ammirare,gioia
ador,gioia
adorabilmente,gioia
l'adorazione,gioia
adorante,gioia
influenzare,gioia
affetto,gioia
affettivo,gioia
affettuosa,gioia
affettuosità,gioia
affettiva,gioia
affright,paura
paura,paura
aggrav,rabbia
aggravare,rabbia
aggravata,rabbia
aggravamento,rabbia
aggress,rabbia
aggressione,rabbia
aggressivo,rabbia
aggressività,rabbia
aggriev,tristezza
aggrieve,tristezza
allarme,paura
allarmato,paura
avviso,paura
amat,gioia
amative,gioia
Amatori,gioia
amatoria,gioia
Amaz,sorpresa
stupire,sorpresa
stupito,sorpresa
lo stupore,sorpresa
sorprendente,sorpresa
incredibilmente,sorpresa
Amic,gioia
amicability,gioia
amichevole,gioia
amicableness,gioia
amichevolmente,gioia
Amok,rabbia
amor,gioia
amorosa,gioia
amorousness,gioia
amuck,rabbia
rabbia,rabbia
fatto arrabbiare,rabbia
Angri,rabbia
angrili,rabbia
con rabbia,rabbia
arrabbiato,rabbia
Animos,rabbia
animosità,rabbia
animus,rabbia
infastidire,rabbia
fastidio,rabbia
infastidito,rabbia
fastidioso,rabbia
Antagon,rabbia
l'antagonismo,rabbia
ANTICIP,gioia
anticipare,gioia
anticipazione,gioia
ansia,paura
ansia,paura
appal,paura
atterrire,paura
appreci,gioia
apprezzato,gioia
apprehens,paura
apprensione,paura
apprensione,paura
apprensione,paura
apprehensiveness,paura
approb,gioia
approbative,gioia
approbatori,gioia
approbatory,gioia
approv,gioia
l'approvazione,gioia
approvare,gioia
approvato,gioia
l'approvazione,gioia
ardore,gioia
ardore,gioia
astoni,sorpresa
costernato,sorpresa
stupire,sorpresa
stupita,sorpresa
sorprendente,sorpresa
sorprendentemente,sorpresa
stupore,sorpresa
stupire,sorpresa
sbalordito,sorpresa
sorprendente,sorpresa
Atroci,paura
atroce,paura
allegare,gioia
attaccamento,gioia
attrit,tristezza
attrito,tristezza
avarici,rabbia
avaro,rabbia
avido,gioia
l'avidità,gioia
avidness,gioia
aw,paura
aw,sorpresa
stupore,sorpresa
intimorito,sorpresa
awestricken,sorpresa
sgomento,sorpresa
terribile,paura
terribile,sorpresa
terribilmente,paura
male,tristezza
bad_blood,rabbia
bad_temp,rabbia
bad_temper,rabbia
baffl,rabbia
baffl,sorpresa
